"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"08:56:10:858","816700529329","   0.177","  18.000"," 3500","  29.026","   2.924","   0.812","  17.136","   1.726","   0.480"," 74","0","   1.423","   0.143","   0.040","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:10:957","816946726650","   0.276","  18.000"," 3600","  28.803","   5.767","   1.602","  16.759","   3.381","   0.939"," 79","0","   1.412","   0.283","   0.079","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:058","817200135084","   0.377","  20.000"," 3500","  31.173","   8.935","   2.482","  18.883","   5.299","   1.472"," 84","0","   1.514","   0.437","   0.121","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:158","817449671063","   0.477","  18.000"," 3600","  29.589","  11.895","   3.304","  17.540","   7.054","   1.959"," 80","0","   1.417","   0.578","   0.161","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:256","817692853257","   0.575","  29.000"," 3500","  34.821","  15.290","   4.247","  22.686","   9.266","   2.574"," 83","0","   1.545","   0.729","   0.203","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:354","817937748005","   0.673","  23.000"," 1700","  32.613","  18.492","   5.137","  20.748","  11.303","   3.140"," 72","0","   1.511","   0.877","   0.244","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:458","818197834323","   0.777","  21.000"," 3500","  21.932","  20.779","   5.772","  11.870","  12.541","   3.484"," 75","0","   1.750","   1.060","   0.294","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:558","818447275481","   0.877","  21.000"," 3500","  30.889","  23.868","   6.630","  18.927","  14.434","   4.009"," 74","0","   1.487","   1.209","   0.336","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:658","818696724845","   0.977","  27.000"," 3500","  34.335","  27.302","   7.584","  22.276","  16.661","   4.628"," 78","0","   1.632","   1.372","   0.381","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:758","818946149909","   1.077","  20.000"," 3500","  30.531","  30.355","   8.432","  18.429","  18.504","   5.140"," 76","0","   1.416","   1.513","   0.420","   0.000","   0.000","   0.000","  47.000","  750"
"08:56:11:858","819195519164","   1.177","  21.000"," 3500","  31.454","  33.500","   9.305","  19.357","  20.440","   5.678"," 75","0","   1.471","   1.660","   0.461","   0.000","   0.000","   0.000","  47.000","  750"
