"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"08:59:59:758","1387627973745","   0.155","  12.000"," 1700","   8.745","   0.871","   0.242","   1.569","   0.156","   0.043"," 65","0","   1.422","   0.142","   0.039","   0.000","   0.000","   0.000","  47.000","  750"
"08:59:59:859","1387879863655","   0.256","  12.000"," 1700","   8.362","   1.715","   0.476","   1.403","   0.298","   0.083"," 64","0","   1.377","   0.281","   0.078","   0.000","   0.000","   0.000","  47.000","  750"
"08:59:59:959","1388129503640","   0.356","  12.000"," 1700","   8.238","   2.540","   0.705","   1.377","   0.436","   0.121"," 65","0","   1.349","   0.416","   0.115","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:059","1388379189525","   0.456","  16.000"," 1700","  10.747","   3.615","   1.004","   2.934","   0.729","   0.203"," 65","0","   1.526","   0.568","   0.158","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:155","1388618400085","   0.552","  13.000"," 1700","   8.527","   4.433","   1.231","   1.504","   0.874","   0.243"," 65","0","   1.381","   0.701","   0.195","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:257","1388873522600","   0.655","  15.000"," 1700","  11.913","   5.652","   1.570","   4.089","   1.292","   0.359"," 66","0","   1.470","   0.851","   0.236","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:355","1389117392995","   0.752","  12.000"," 1700","   8.364","   6.470","   1.797","   1.390","   1.428","   0.397"," 66","0","   1.355","   0.984","   0.273","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:458","1389375037670","   0.856","  16.000"," 1700","  11.453","   7.653","   2.126","   3.268","   1.765","   0.490"," 64","0","   1.623","   1.151","   0.320","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:558","1389624489650","   0.956","  12.000"," 1700","   8.367","   8.490","   2.358","   1.446","   1.910","   0.531"," 64","0","   1.361","   1.288","   0.358","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:654","1389864976270","   1.052","  12.000"," 1700","   8.486","   9.308","   2.585","   1.457","   2.050","   0.570"," 64","0","   1.393","   1.422","   0.395","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:755","1390116388670","   1.153","  12.000"," 1700","   8.296","  10.144","   2.818","   1.396","   2.191","   0.609"," 64","0","   1.364","   1.559","   0.433","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:854","1390362706325","   1.252","  14.000"," 1700","   9.126","  11.045","   3.068","   1.740","   2.363","   0.656"," 65","0","   1.474","   1.705","   0.474","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:00:958","1390622257075","   1.356","  12.000"," 1700","   8.258","  11.905","   3.307","   1.368","   2.505","   0.696"," 65","0","   1.373","   1.848","   0.513","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:058","1390871730450","   1.456","  12.000"," 1700","   8.320","  12.737","   3.538","   1.370","   2.642","   0.734"," 65","0","   1.378","   1.986","   0.552","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:158","1391121122938","   1.556","  14.000"," 3500","  20.128","  14.749","   4.097","   9.125","   3.555","   0.987"," 81","0","   1.458","   2.131","   0.592","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:256","1391365961315","   1.654","  12.000"," 1700","  12.097","  15.937","   4.427","   4.017","   3.949","   1.097"," 66","0","   1.420","   2.271","   0.631","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:354","1391609967125","   1.752","  12.000"," 1700","   8.339","  16.753","   4.653","   1.364","   4.082","   1.134"," 64","0","   1.385","   2.406","   0.668","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:455","1391861807000","   1.853","  15.000"," 1700","  11.013","  17.865","   4.962","   3.032","   4.388","   1.219"," 64","0","   1.528","   2.560","   0.711","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:558","1392118354554","   1.956","  24.000"," 3500","  33.006","  21.259","   5.905","  20.454","   6.492","   1.803"," 81","0","   1.798","   2.745","   0.763","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:655","1392359923117","   2.052","  25.000"," 3500","  34.996","  24.649","   6.847","  22.591","   8.680","   2.411"," 78","0","   1.722","   2.912","   0.809","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:757","1392615942024","   2.155","  11.000"," 2500","  13.391","  26.023","   7.229","   6.449","   9.342","   2.595"," 67","0","   1.560","   3.072","   0.853","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:858","1392865710617","   2.255","  12.000"," 2500","   9.389","  26.964","   7.490","   2.138","   9.556","   2.655"," 65","0","   1.598","   3.232","   0.898","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:01:955","1393108987505","   2.353","  15.000"," 1700","  10.763","  28.013","   7.781","   3.080","   9.857","   2.738"," 65","0","   1.456","   3.374","   0.937","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:058","1393365459815","   2.456","  12.000"," 1700","   8.334","  28.870","   8.020","   1.433","  10.004","   2.779"," 66","0","   1.362","   3.514","   0.976","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:155","1393608834070","   2.553","  14.000"," 1700","   9.024","  29.751","   8.264","   1.798","  10.180","   2.828"," 64","0","   1.416","   3.653","   1.015","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:255","1393857265975","   2.653","  13.000"," 1700","   8.689","  30.616","   8.504","   1.645","  10.343","   2.873"," 64","0","   1.408","   3.793","   1.054","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:355","1394105789050","   2.752","  12.000"," 1700","   8.295","  31.443","   8.734","   1.387","  10.482","   2.912"," 66","0","   1.364","   3.929","   1.091","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:458","1394363308165","   2.856","  15.000"," 1700","  11.419","  32.622","   9.062","   3.224","  10.814","   3.004"," 66","0","   1.534","   4.087","   1.135","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:554","1394603184150","   2.952","  12.000"," 1700","   8.342","  33.424","   9.284","   1.365","  10.946","   3.040"," 66","0","   1.377","   4.219","   1.172","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:656","1394857831825","   3.054","  14.000"," 1700","   9.332","  34.377","   9.549","   1.898","  11.140","   3.094"," 65","0","   1.554","   4.378","   1.216","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:757","1395109228813","   3.155","   4.000","  800","   4.155","  34.795","   9.665","   0.469","  11.187","   3.107"," 66","0","   1.452","   4.524","   1.257","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:854","1395351666863","   3.252","   3.000","  800","   3.547","  35.140","   9.761","   0.289","  11.215","   3.115"," 63","0","   1.404","   4.661","   1.295","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:02:958","1395610178038","   3.356","   1.000","  800","   2.433","  35.392","   9.831","   0.101","  11.225","   3.118"," 63","0","   1.306","   4.796","   1.332","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:059","1395861304625","   3.456","   0.000","  800","   2.212","  35.615","   9.893","   0.077","  11.233","   3.120"," 63","0","   1.282","   4.925","   1.368","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:157","1396107274395","   3.555","   5.000"," 1700","   6.798","  36.285","  10.079","   1.786","  11.409","   3.169"," 64","0","   1.401","   5.063","   1.407","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:259","1396361381590","   3.657","   4.000"," 1700","   5.859","  36.882","  10.245","   0.697","  11.480","   3.189"," 63","0","   1.483","   5.215","   1.448","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:355","1396600489963","   3.753","   1.000","  800","   2.400","  37.112","  10.309","   0.128","  11.493","   3.192"," 63","0","   1.294","   5.339","   1.483","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:459","1396859163575","   3.856","   3.000","  800","   5.719","  37.705","  10.474","   0.908","  11.587","   3.219"," 63","0","   1.541","   5.498","   1.527","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:557","1397105494213","   3.955","   0.000","  800","   2.021","  37.905","  10.529","   0.020","  11.589","   3.219"," 63","0","   1.271","   5.624","   1.562","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:03:655","1397348499050","   4.053","   0.000","  800","   2.120","  38.112","  10.587","   0.029","  11.592","   3.220"," 63","0","   1.279","   5.749","   1.597","   0.000","   0.000","   0.000","  47.000","  750"
