"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"09:05:28:257","2206979355425","   0.201","   0.000","  800","   2.206","   0.222","   0.062","   0.023","   0.002","   0.001"," 59","0","   1.289","   0.130","   0.036","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:354","2207221953450","   0.299","   1.000","  800","   2.319","   0.448","   0.124","   0.053","   0.008","   0.002"," 59","0","   1.291","   0.255","   0.071","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:458","2207481304545","   0.403","   4.000"," 1700","   6.680","   1.142","   0.317","   1.227","   0.135","   0.038"," 58","0","   1.577","   0.419","   0.117","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:559","2207732276025","   0.503","   6.000"," 1700","   4.792","   1.625","   0.451","   0.710","   0.207","   0.057"," 58","0","   1.449","   0.565","   0.157","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:654","2207969859850","   0.599","   5.000"," 1700","   4.072","   2.013","   0.559","   0.513","   0.255","   0.071"," 57","0","   1.430","   0.701","   0.195","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:757","2208227916113","   0.702","   4.000","  800","   3.753","   2.401","   0.667","   0.365","   0.293","   0.081"," 61","0","   1.420","   0.848","   0.236","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:859","2208481118325","   0.804","   0.000"," 1700","   2.463","   2.651","   0.736","   0.063","   0.299","   0.083"," 59","0","   1.296","   0.980","   0.272","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:28:956","2208722951113","   0.901","   0.000","  800","   2.236","   2.868","   0.797","   0.026","   0.302","   0.084"," 60","0","   1.292","   1.105","   0.307","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:057","2208975378100","   1.002","   0.000","  800","   2.058","   3.076","   0.854","   0.024","   0.304","   0.085"," 57","0","   1.272","   1.234","   0.343","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:157","2209225810463","   1.102","   3.000","  800","   4.131","   3.491","   0.970","   0.564","   0.361","   0.100"," 58","0","   1.399","   1.374","   0.382","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:256","2209471171110","   1.200","   2.000"," 1700","   2.917","   3.778","   1.049","   0.168","   0.378","   0.105"," 58","0","   1.351","   1.507","   0.419","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:355","2209718771085","   1.300","   4.000"," 1700","   3.935","   4.168","   1.158","   0.430","   0.420","   0.117"," 57","0","   1.425","   1.649","   0.458","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:458","2209976377375","   1.403","   7.000","  800","   7.691","   4.962","   1.378","   1.730","   0.599","   0.166"," 58","0","   1.640","   1.818","   0.505","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:556","2210218820500","   1.500","   4.000"," 1700","   3.943","   5.346","   1.485","   0.487","   0.646","   0.180"," 58","0","   1.420","   1.956","   0.543","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:656","2210470235375","   1.601","   4.000"," 1700","   4.036","   5.753","   1.598","   0.492","   0.696","   0.193"," 59","0","   1.436","   2.101","   0.584","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:757","2210721096625","   1.702","   4.000"," 1700","   3.772","   6.132","   1.703","   0.415","   0.738","   0.205"," 58","0","   1.411","   2.243","   0.623","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:858","2210972237410","   1.802","   4.000"," 1700","   3.852","   6.520","   1.811","   0.424","   0.780","   0.217"," 59","0","   1.430","   2.387","   0.663","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:29:958","2211223693338","   1.903","   1.000","  800","   2.536","   6.775","   1.882","   0.094","   0.790","   0.219"," 57","0","   1.317","   2.520","   0.700","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:059","2211474387225","   2.004","   0.000","  800","   2.079","   6.984","   1.940","   0.036","   0.793","   0.220"," 58","0","   1.272","   2.647","   0.735","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:157","2211719964200","   2.102","   3.000","  800","   4.302","   7.408","   2.058","   0.776","   0.870","   0.242"," 58","0","   1.349","   2.780","   0.772","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:259","2211973146888","   2.204","   1.000","  800","   2.504","   7.662","   2.128","   0.124","   0.882","   0.245"," 57","0","   1.311","   2.913","   0.809","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:355","2212212512375","   2.300","   1.000","  800","   2.333","   7.886","   2.191","   0.075","   0.890","   0.247"," 58","0","   1.299","   3.038","   0.844","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:458","2212470804715","   2.403","   4.000"," 1700","   5.821","   8.489","   2.358","   0.903","   0.983","   0.273"," 57","0","   1.540","   3.197","   0.888","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:555","2212711051470","   2.499","   1.000"," 1700","   2.792","   8.758","   2.433","   0.119","   0.995","   0.276"," 58","0","   1.344","   3.327","   0.924","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:659","2212970158725","   2.603","   2.000"," 1700","   2.812","   9.050","   2.514","   0.142","   1.009","   0.280"," 58","0","   1.347","   3.467","   0.963","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:757","2213216018200","   2.702","   2.000"," 1700","   2.882","   9.334","   2.593","   0.146","   1.024","   0.284"," 58","0","   1.350","   3.600","   1.000","   0.000","   0.000","   0.000","  47.000","  750"
"09:05:30:857","2213465822420","   2.802","  11.000"," 1700","   8.846","  10.220","   2.839","   3.430","   1.367","   0.380"," 58","0","   1.518","   3.752","   1.042","   0.035","   0.003","   0.001","  47.000","  750"
"09:05:30:956","2213711772790","   2.901","  17.000"," 3500","  24.135","  12.600","   3.500","  12.837","   2.633","   0.731"," 64","0","   1.820","   3.931","   1.092","   0.000","   0.003","   0.001","  47.000","  750"
"09:05:31:058","2213964952569","   3.002","  13.000"," 3500","  22.044","  14.837","   4.121","  10.177","   3.666","   1.018"," 62","0","   1.606","   4.094","   1.137","   0.000","   0.003","   0.001","  47.000","  750"
"09:05:31:159","2214217432336","   3.103","  13.000"," 3600","  17.698","  16.629","   4.619","   7.360","   4.411","   1.225"," 66","0","   1.381","   4.234","   1.176","   0.000","   0.003","   0.001","  47.000","  750"
"09:05:31:259","2214466833201","   3.203","  13.000"," 3500","  17.680","  18.396","   5.110","   7.335","   5.145","   1.429"," 63","0","   1.369","   4.371","   1.214","   0.000","   0.003","   0.001","  47.000","  750"
"09:05:31:355","2214707252220","   3.300","  13.000"," 3300","  17.440","  20.078","   5.577","   7.157","   5.835","   1.621"," 65","0","   1.363","   4.503","   1.251","   0.000","   0.003","   0.001","  47.000","  750"
