"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"10:06:49:204","1215679796980","   0.149","  15.000"," 1700","   9.552","   0.957","   0.266","   2.106","   0.211","   0.059"," 65","0","   1.588","   0.159","   0.044","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:304","1215928190125","   0.248","  15.000"," 1700","   9.190","   1.872","   0.520","   1.861","   0.396","   0.110"," 65","0","   1.571","   0.315","   0.088","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:404","1216179638500","   0.349","  13.000"," 1700","   8.475","   2.726","   0.757","   1.487","   0.546","   0.152"," 65","0","   1.416","   0.458","   0.127","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:505","1216429555375","   0.450","  13.000"," 1700","   8.667","   3.595","   0.999","   1.571","   0.703","   0.195"," 65","0","   1.433","   0.602","   0.167","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:603","1216675724600","   0.548","  18.000"," 1700","  10.369","   4.618","   1.283","   2.660","   0.966","   0.268"," 65","0","   1.617","   0.761","   0.211","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:705","1216929030135","   0.650","  19.000"," 1700","  12.649","   5.903","   1.640","   4.057","   1.378","   0.383"," 65","0","   1.748","   0.939","   0.261","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:805","1217178807908","   0.750","  15.000"," 2500","   9.386","   6.843","   1.901","   2.020","   1.580","   0.439"," 64","0","   1.577","   1.097","   0.305","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:49:905","1217427113035","   0.849","  15.000"," 1700","   9.112","   7.750","   2.153","   1.836","   1.763","   0.490"," 65","0","   1.558","   1.252","   0.348","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:50:007","1217682688001","   0.952","  16.000"," 2500","   9.505","   8.724","   2.423","   2.117","   1.980","   0.550"," 65","0","   1.560","   1.412","   0.392","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:50:106","1217928394415","   1.050","  18.000"," 1700","  11.697","   9.876","   2.743","   3.615","   2.336","   0.649"," 65","0","   1.695","   1.579","   0.439","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:50:203","1218171860880","   1.148","  15.000"," 1700","   9.170","  10.771","   2.992","   1.883","   2.520","   0.700"," 65","0","   1.546","   1.730","   0.480","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:50:306","1218428306345","   1.251","  13.000"," 1700","   8.781","  11.674","   3.243","   1.607","   2.685","   0.746"," 65","0","   1.523","   1.886","   0.524","   0.000","   0.000","   0.000","  47.000","  750"
"10:06:50:406","1218678049295","   1.351","  23.000"," 1700","  15.419","  13.218","   3.672","   6.763","   3.362","   0.934"," 65","0","   1.679","   2.055","   0.571","   0.041","   0.004","   0.001","  47.000","  750"
"10:06:50:506","1218927758423","   1.451","  23.000"," 3500","  15.600","  14.779","   4.105","   6.501","   4.013","   1.115"," 66","0","   1.658","   2.220","   0.617","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:50:603","1219169876949","   1.548","  26.000"," 3500","  35.282","  18.204","   5.057","  22.299","   6.178","   1.716"," 71","0","   1.872","   2.402","   0.667","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:50:707","1219427200465","   1.651","  26.000"," 3500","  30.867","  21.389","   5.941","  18.660","   8.103","   2.251"," 70","0","   1.578","   2.565","   0.712","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:50:803","1219668068651","   1.748","  25.000"," 3500","  29.165","  24.205","   6.724","  17.456","   9.789","   2.719"," 70","0","   1.460","   2.706","   0.752","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:50:907","1219926809734","   1.852","  24.000"," 3500","  28.334","  27.145","   7.540","  16.856","  11.537","   3.205"," 70","0","   1.400","   2.851","   0.792","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:004","1220168242859","   1.948","  25.000"," 3500","  28.950","  29.947","   8.319","  17.200","  13.202","   3.667"," 69","0","   1.555","   3.002","   0.834","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:104","1220418458675","   2.049","  23.000"," 3500","  27.771","  32.733","   9.092","  15.697","  14.777","   4.105"," 72","0","   1.831","   3.185","   0.885","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:207","1220675713338","   2.152","  23.000"," 3500","  27.511","  35.570","   9.881","  15.407","  16.366","   4.546"," 70","0","   1.857","   3.377","   0.938","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:302","1220913487696","   2.247","  22.000"," 3500","  26.079","  38.056","  10.571","  14.603","  17.758","   4.933"," 69","0","   1.629","   3.532","   0.981","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:407","1221175078638","   2.352","  24.000"," 3500","  28.081","  41.001","  11.389","  16.190","  19.456","   5.404"," 71","0","   1.851","   3.726","   1.035","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:505","1221418396194","   2.450","  25.000"," 3500","  28.799","  43.811","  12.170","  16.552","  21.071","   5.853"," 68","0","   1.848","   3.906","   1.085","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:602","1221661904747","   2.547","  25.000"," 3500","  26.190","  46.368","  12.880","  14.647","  22.501","   6.250"," 69","0","   1.836","   4.086","   1.135","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:703","1221911778781","   2.647","  28.000"," 3500","  29.783","  49.351","  13.709","  17.500","  24.254","   6.737"," 68","0","   1.967","   4.283","   1.190","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:806","1222169791174","   2.751","  22.000"," 3500","  25.987","  52.039","  14.455","  14.482","  25.752","   7.153"," 70","0","   1.699","   4.459","   1.238","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:51:907","1222422528180","   2.852","  24.000"," 3500","  28.149","  54.892","  15.248","  16.578","  27.432","   7.620"," 70","0","   1.510","   4.612","   1.281","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:007","1222671652011","   2.952","  25.000"," 3500","  28.587","  57.747","  16.041","  16.959","  29.126","   8.090"," 69","0","   1.483","   4.760","   1.322","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:103","1222909094638","   3.047","  25.000"," 3500","  29.318","  60.538","  16.816","  17.752","  30.815","   8.560"," 69","0","   1.435","   4.896","   1.360","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:203","1223158537808","   3.147","  25.000"," 3500","  29.401","  63.478","  17.633","  17.812","  32.597","   9.055"," 69","0","   1.437","   5.040","   1.400","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:302","1223407661873","   3.247","  25.000"," 3500","  28.607","  66.336","  18.427","  17.127","  34.307","   9.530"," 71","0","   1.418","   5.182","   1.439","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:407","1223669674092","   3.352","  22.000"," 3500","  26.490","  69.118","  19.200","  14.924","  35.875","   9.965"," 69","0","   1.624","   5.352","   1.487","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:507","1223919046807","   3.452","  12.000"," 3500","  17.221","  70.840","  19.678","   6.820","  36.557","  10.155"," 69","0","   1.368","   5.489","   1.525","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:603","1224158307716","   3.548","  12.000"," 3500","  17.170","  72.487","  20.135","   6.756","  37.205","  10.335"," 70","0","   1.362","   5.620","   1.561","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:707","1224417911765","   3.652","  14.000"," 3600","  19.386","  74.505","  20.696","   8.405","  38.080","  10.578"," 69","0","   1.482","   5.774","   1.604","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:807","1224667295407","   3.752","  12.000"," 3500","  16.966","  76.201","  21.167","   6.713","  38.751","  10.764"," 68","0","   1.361","   5.910","   1.642","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:52:905","1224910298042","   3.850","  12.000"," 3500","  17.127","  77.870","  21.631","   6.731","  39.407","  10.946"," 70","0","   1.355","   6.042","   1.678","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:003","1225154132050","   3.947","  13.000"," 3500","  17.758","  79.606","  22.113","   7.262","  40.117","  11.144"," 66","0","   1.420","   6.181","   1.717","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:106","1225410943118","   4.050","  15.000"," 3500","  19.725","  81.637","  22.677","   8.967","  41.040","  11.400"," 68","0","   1.441","   6.329","   1.758","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:207","1225665011998","   4.152","  13.000"," 3600","  17.585","  83.428","  23.174","   7.235","  41.777","  11.605"," 71","0","   1.366","   6.468","   1.797","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:307","1225914398046","   4.252","  12.000"," 3500","  17.319","  85.160","  23.655","   6.897","  42.467","  11.796"," 71","0","   1.366","   6.605","   1.835","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:404","1226154180758","   4.348","  12.000"," 3500","  17.120","  86.806","  24.113","   6.730","  43.114","  11.976"," 71","0","   1.357","   6.735","   1.871","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:507","1226413266239","   4.452","  12.000"," 3500","  17.366","  88.609","  24.614","   6.929","  43.834","  12.176"," 68","0","   1.365","   6.877","   1.910","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:603","1226652533284","   4.548","  12.000"," 3500","  17.138","  90.253","  25.070","   6.802","  44.486","  12.357"," 68","0","   1.354","   7.007","   1.946","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:707","1226912188148","   4.652","  15.000"," 3600","  22.181","  92.563","  25.712","  10.775","  45.608","  12.669"," 69","0","   1.569","   7.170","   1.992","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:805","1227156224492","   4.750","  12.000"," 3500","  22.139","  94.729","  26.314","  10.195","  46.605","  12.946"," 70","0","   1.615","   7.328","   2.036","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:53:905","1227405185825","   4.850","  12.000"," 3500","  25.103","  97.234","  27.010","  11.960","  47.799","  13.278"," 75","0","   2.057","   7.534","   2.093","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:003","1227649586825","   4.948","   4.000"," 1700","   5.921","  97.814","  27.171","   0.840","  47.881","  13.300"," 66","0","   1.581","   7.689","   2.136","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:103","1227899840070","   5.048","   3.000"," 1700","   6.331","  98.450","  27.347","   0.824","  47.964","  13.323"," 65","0","   1.511","   7.840","   2.178","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:202","1228146755474","   5.147","  21.000"," 3500","  26.026"," 101.026","  28.063","  14.776","  49.427","  13.730"," 68","0","   1.479","   7.987","   2.219","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:306","1228405947811","   5.251","  13.000"," 3600","  22.037"," 103.316","  28.699","  10.259","  50.493","  14.026"," 72","0","   1.888","   8.183","   2.273","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:403","1228646450067","   5.348","   9.000"," 2500","  13.758"," 104.643","  29.067","   4.576","  50.934","  14.148"," 66","0","   2.044","   8.380","   2.328","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:505","1228901452492","   5.450","  10.000"," 3500","  15.674"," 106.245","  29.513","   5.705","  51.517","  14.310"," 71","0","   1.997","   8.584","   2.384","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:603","1229145020197","   5.547","   9.000"," 2800","  13.559"," 107.569","  29.880","   4.405","  51.947","  14.430"," 67","0","   2.048","   8.784","   2.440","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:703","1229395088390","   5.648","  11.000"," 3500","  17.972"," 109.371","  30.381","   7.220","  52.671","  14.631"," 69","0","   2.048","   8.989","   2.497","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:803","1229644984615","   5.748","  18.000"," 3500","  23.837"," 111.759","  31.044","  12.531","  53.927","  14.980"," 69","0","   2.079","   9.198","   2.555","   0.000","   0.004","   0.001","  47.000","  750"
"10:06:54:903","1229894642797","   5.848","  20.000"," 3100","  28.770"," 114.639","  31.844","  16.385","  55.567","  15.435"," 67","0","   2.063","   9.404","   2.612","   0.000","   0.004","   0.001","  47.000","  750"
