"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"09:01:01:658","1542021223483","   3.757","  12.000"," 3500","  17.167","  29.932","   8.314","   6.751","   9.757","   2.710"," 64","0","   1.353","   5.176","   1.438","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:757","1542267506115","   3.855","  12.000"," 3500","  17.015","  31.612","   8.781","   6.707","  10.419","   2.894"," 64","0","   1.364","   5.311","   1.475","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:857","1542517445090","   3.955","  12.000"," 3500","  17.016","  33.317","   9.255","   6.662","  11.087","   3.080"," 64","0","   1.356","   5.447","   1.513","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:957","1542767383939","   4.056","  12.000"," 3500","  17.158","  35.037","   9.732","   6.797","  11.768","   3.269"," 70","0","   1.359","   5.583","   1.551","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:057","1543017316973","   4.156","  12.000"," 3500","  17.098","  36.750","  10.208","   6.780","  12.447","   3.458"," 70","0","   1.360","   5.719","   1.589","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:156","1543262863528","   4.254","  13.000"," 3500","  17.938","  38.516","  10.699","   7.458","  13.181","   3.661"," 67","0","   1.383","   5.855","   1.626","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:259","1543520010515","   4.357","  12.000"," 3600","  17.519","  40.322","  11.201","   7.102","  13.914","   3.865"," 67","0","   1.401","   6.000","   1.667","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:355","1543759272604","   4.453","  12.000"," 3500","  17.156","  41.968","  11.658","   6.767","  14.563","   4.045"," 67","0","   1.363","   6.130","   1.703","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:454","1544006880765","   4.553","  14.000"," 3600","  19.341","  43.888","  12.191","   8.433","  15.400","   4.278"," 68","0","   1.503","   6.280","   1.744","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:559","1544268260291","   4.657","  12.000"," 3500","  17.271","  45.698","  12.694","   6.941","  16.127","   4.480"," 67","0","   1.361","   6.422","   1.784","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:658","1544514759635","   4.756","  12.000"," 3500","  17.196","  47.397","  13.166","   6.776","  16.797","   4.666"," 65","0","   1.364","   6.557","   1.821","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:758","1544764703273","   4.856","  12.000"," 3600","  17.023","  49.103","  13.640","   6.657","  17.464","   4.851"," 65","0","   1.356","   6.693","   1.859","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:858","1545014566000","   4.957","  12.000"," 3500","  17.045","  50.810","  14.114","   6.667","  18.132","   5.037"," 65","0","   1.356","   6.829","   1.897","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:02:959","1545265924215","   5.057","  12.000"," 3500","  17.049","  52.529","  14.591","   6.738","  18.811","   5.225"," 66","0","   1.351","   6.965","   1.935","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:057","1545509767347","   5.155","  12.000"," 3500","  17.100","  54.200","  15.056","   6.717","  19.468","   5.408"," 66","0","   1.363","   7.098","   1.972","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:159","1545764314050","   5.257","  16.000"," 3600","  20.156","  56.257","  15.627","   9.460","  20.433","   5.676"," 71","0","   1.460","   7.247","   2.013","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:255","1546005761889","   5.354","  14.000"," 3500","  19.111","  58.107","  16.141","   8.278","  21.234","   5.898"," 71","0","   1.493","   7.392","   2.053","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:358","1546262775256","   5.457","  13.000"," 3300","  17.584","  59.919","  16.644","   7.238","  21.980","   6.106"," 71","0","   1.386","   7.535","   2.093","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:459","1546513079138","   5.557","  13.000"," 3600","  19.042","  61.830","  17.175","   8.189","  22.802","   6.334"," 66","0","   1.475","   7.683","   2.134","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:558","1546759847823","   5.656","  12.000"," 3500","  17.163","  63.528","  17.647","   6.768","  23.472","   6.520"," 66","0","   1.362","   7.818","   2.172","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:657","1547008377156","   5.756","  12.000"," 3500","  17.021","  65.224","  18.118","   6.699","  24.139","   6.705"," 65","0","   1.351","   7.952","   2.209","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:759","1547261377097","   5.857","  12.000"," 3500","  19.894","  67.242","  18.678","   8.638","  25.015","   6.949"," 68","0","   1.635","   8.118","   2.255","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:859","1547510867590","   5.957","  12.000"," 3600","  27.120","  69.955","  19.432","  12.948","  26.311","   7.309"," 78","0","   1.534","   8.271","   2.298","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:03:958","1547759326083","   6.057","  12.000"," 3500","  27.655","  72.710","  20.197","  13.294","  27.635","   7.676"," 74","0","   1.370","   8.408","   2.336","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:056","1548002082638","   6.154","   4.000","  800","  10.016","  73.684","  20.468","   3.568","  27.982","   7.773"," 60","0","   1.428","   8.547","   2.374","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:158","1548257537163","   6.257","   2.000","  800","   2.761","  73.967","  20.546","   0.171","  28.000","   7.778"," 58","0","   1.325","   8.683","   2.412","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:259","1548508926925","   6.358","   1.000","  800","   2.669","  74.236","  20.621","   0.151","  28.015","   7.782"," 56","0","   1.336","   8.817","   2.449","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:355","1548748147715","   6.454","   0.000"," 1700","   2.102","  74.438","  20.677","   0.025","  28.017","   7.783"," 57","0","   1.271","   8.939","   2.483","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:454","1548995098200","   6.553","   4.000","  800","   6.051","  75.037","  20.844","   0.983","  28.115","   7.810"," 57","0","   1.541","   9.092","   2.525","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:555","1549246646488","   6.653","   0.000","  800","   2.107","  75.249","  20.903","   0.027","  28.117","   7.810"," 56","0","   1.278","   9.221","   2.561","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:655","1549497972038","   6.754","   0.000","  800","   2.299","  75.481","  20.967","   0.039","  28.121","   7.811"," 57","0","   1.280","   9.350","   2.597","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:756","1549749476813","   6.855","   0.000","  800","   2.251","  75.708","  21.030","   0.028","  28.124","   7.812"," 56","0","   1.286","   9.479","   2.633","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:857","1550000882800","   6.956","   0.000","  800","   2.188","  75.929","  21.091","   0.039","  28.128","   7.813"," 56","0","   1.280","   9.608","   2.669","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:04:958","1550252433663","   7.057","   0.000","  800","   2.200","  76.150","  21.153","   0.041","  28.132","   7.815"," 56","0","   1.280","   9.737","   2.705","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:059","1550503984388","   7.157","   0.000","  800","   2.021","  76.354","  21.210","   0.018","  28.134","   7.815"," 56","0","   1.270","   9.866","   2.740","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:156","1550746107900","   7.255","   3.000","  800","   3.863","  76.729","  21.314","   0.633","  28.195","   7.832"," 56","0","   1.368","   9.998","   2.777","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:257","1550997603800","   7.355","   0.000","  800","   2.105","  76.941","  21.373","   0.031","  28.199","   7.833"," 57","0","   1.279","  10.127","   2.813","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:355","1551242549550","   7.454","   0.000","  800","   2.211","  77.159","  21.433","   0.076","  28.206","   7.835"," 57","0","   1.279","  10.253","   2.848","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:459","1551502005213","   7.558","   3.000","  800","   5.629","  77.744","  21.596","   0.802","  28.289","   7.858"," 56","0","   1.524","  10.411","   2.892","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:556","1551743850363","   7.655","   0.000","  800","   2.363","  77.973","  21.659","   0.069","  28.296","   7.860"," 56","0","   1.283","  10.536","   2.927","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:659","1552000481063","   7.757","   0.000","  800","   2.245","  78.204","  21.723","   0.047","  28.301","   7.861"," 57","0","   1.292","  10.669","   2.964","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:754","1552238212300","   7.853","   0.000"," 1700","   2.131","  78.407","  21.780","   0.027","  28.304","   7.862"," 56","0","   1.276","  10.790","   2.997","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:855","1552489855775","   7.954","   0.000","  800","   2.032","  78.612","  21.837","   0.018","  28.305","   7.863"," 56","0","   1.270","  10.919","   3.033","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:05:957","1552744130938","   8.056","   1.000","  800","   2.391","  78.856","  21.904","   0.093","  28.315","   7.865"," 57","0","   1.299","  11.051","   3.070","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:056","1552991245144","   8.155","  12.000"," 3600","  16.085","  80.450","  22.347","   7.664","  29.074","   8.076"," 70","0","   1.399","  11.190","   3.108","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:156","1553240993159","   8.255","  14.000"," 3600","  22.900","  82.743","  22.984","  11.372","  30.213","   8.392"," 69","0","   1.460","  11.336","   3.149","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:256","1553490626790","   8.355","  12.000"," 3600","  22.701","  85.015","  23.615","  10.961","  31.310","   8.697"," 71","0","   1.451","  11.481","   3.189","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:355","1553736224755","   8.453","  12.000"," 3500","  22.267","  87.207","  24.224","  10.609","  32.355","   8.987"," 73","0","   1.395","  11.618","   3.227","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:456","1553989958144","   8.555","  14.000"," 3600","  24.194","  89.668","  24.908","  12.148","  33.590","   9.331"," 69","0","   1.615","  11.783","   3.273","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:557","1554239876242","   8.655","  12.000"," 3600","  22.483","  91.921","  25.534","  10.737","  34.666","   9.630"," 70","0","   1.402","  11.923","   3.312","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:657","1554489831092","   8.755","  12.000"," 3500","  22.491","  94.175","  26.160","  10.801","  35.749","   9.930"," 79","0","   1.411","  12.065","   3.351","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:757","1554740757725","   8.856","   7.000","  800","  13.414","  95.525","  26.535","   5.931","  36.345","  10.096"," 63","0","   1.395","  12.205","   3.390","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:858","1554992229075","   8.957","   0.000","  800","   2.123","  95.739","  26.594","   0.017","  36.347","  10.096"," 58","0","   1.280","  12.334","   3.426","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:06:959","1555243481425","   9.058","   0.000","  800","   2.219","  95.962","  26.656","   0.047","  36.352","  10.098"," 57","0","   1.283","  12.463","   3.462","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:059","1555492735988","   9.158","   0.000","  800","   2.166","  96.179","  26.716","   0.023","  36.354","  10.098"," 59","0","   1.280","  12.591","   3.498","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:159","1555741587513","   9.257","   3.000","  800","   3.546","  96.532","  26.815","   0.505","  36.404","  10.112"," 58","0","   1.359","  12.727","   3.535","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:258","1555988374513","   9.356","   0.000","  800","   2.207","  96.751","  26.875","   0.043","  36.409","  10.114"," 57","0","   1.282","  12.853","   3.570","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:355","1556230988638","   9.454","   1.000","  800","   2.408","  96.985","  26.940","   0.078","  36.416","  10.116"," 56","0","   1.289","  12.979","   3.605","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:454","1556479104988","   9.553","   3.000","  800","   5.941","  97.576","  27.104","   0.871","  36.503","  10.140"," 58","0","   1.544","  13.132","   3.648","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:555","1556729745638","   9.654","   0.000","  800","   2.052","  97.782","  27.162","   0.019","  36.505","  10.140"," 56","0","   1.276","  13.261","   3.684","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:657","1556983527138","   9.755","   0.000","  800","   2.078","  97.994","  27.220","   0.018","  36.507","  10.141"," 58","0","   1.273","  13.390","   3.719","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:755","1557228895738","   9.854","   1.000","  800","   3.247","  98.313","  27.309","   0.150","  36.521","  10.145"," 58","0","   1.326","  13.521","   3.756","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:856","1557480231125","   9.954","   0.000","  800","   2.134","  98.528","  27.369","   0.045","  36.526","  10.146"," 56","0","   1.281","  13.650","   3.792","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:07:957","1557731597605","  10.055","   0.000"," 1700","   2.136","  98.743","  27.429","   0.038","  36.530","  10.147"," 56","0","   1.277","  13.778","   3.827","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:057","1557983162113","  10.156","   0.000","  800","   2.014","  98.946","  27.485","   0.019","  36.532","  10.148"," 56","0","   1.269","  13.906","   3.863","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:158","1558234723660","  10.257","   2.000"," 1700","   3.361","  99.285","  27.579","   0.351","  36.567","  10.158"," 56","0","   1.346","  14.042","   3.901","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:259","1558485829438","  10.358","   1.000","  800","   2.632","  99.550","  27.653","   0.129","  36.580","  10.161"," 57","0","   1.336","  14.177","   3.938","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:355","1558725358888","  10.454","   0.000","  800","   2.146","  99.756","  27.710","   0.018","  36.582","  10.162"," 57","0","   1.280","  14.300","   3.972","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:454","1558972815463","  10.553","   8.000"," 3600","   9.505"," 100.699","  27.972","   2.917","  36.871","  10.242"," 60","0","   1.689","  14.467","   4.019","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:554","1559221398250","  10.653","   8.000"," 1700","  13.605"," 102.055","  28.349","   6.164","  37.486","  10.413"," 58","0","   1.405","  14.607","   4.058","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:654","1559471517135","  10.753","   0.000"," 1700","   2.332"," 102.289","  28.414","   0.097","  37.495","  10.415"," 56","0","   1.302","  14.738","   4.094","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:759","1559732634298","  10.857","   6.000"," 3600","   9.478"," 103.281","  28.689","   3.628","  37.875","  10.521"," 71","0","   1.364","  14.880","   4.133","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:858","1559980496969","  10.957","  12.000"," 3600","  21.755"," 105.443","  29.290","  10.102","  38.879","  10.800"," 77","0","   1.470","  15.027","   4.174","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:08:957","1560227719562","  11.056","  12.000"," 3500","  21.339"," 107.558","  29.877","   9.889","  39.859","  11.072"," 71","0","   1.461","  15.171","   4.214","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:056","1560473583494","  11.155","  24.000"," 3500","  31.892"," 110.702","  30.751","  19.800","  41.811","  11.614"," 68","0","   1.538","  15.323","   4.256","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:158","1560727907488","  11.257","  27.000"," 3500","  33.041"," 114.071","  31.686","  20.936","  43.946","  12.207"," 77","0","   1.590","  15.485","   4.301","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:254","1560968928638","  11.353","  12.000"," 3500","  21.619"," 116.160","  32.267","  10.092","  44.921","  12.478"," 73","0","   1.482","  15.628","   4.341","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:355","1561218927132","  11.453","  12.000"," 3500","  21.800"," 118.345","  32.874","  10.194","  45.943","  12.762"," 71","0","   1.463","  15.775","   4.382","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:455","1561469229735","  11.554","  13.000"," 2500","  22.868"," 120.640","  33.511","  11.148","  47.061","  13.073"," 70","0","   1.595","  15.935","   4.426","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:554","1561715774550","  11.653","   0.000","  800","   2.235"," 120.861","  33.573","   0.069","  47.068","  13.075"," 61","0","   1.287","  16.062","   4.462","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:655","1561967219813","  11.753","   0.000","  800","   2.039"," 121.067","  33.630","   0.022","  47.071","  13.075"," 58","0","   1.271","  16.190","   4.497","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:756","1562218683875","  11.854","   1.000","  800","   2.309"," 121.299","  33.694","   0.081","  47.079","  13.077"," 57","0","   1.294","  16.321","   4.534","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:856","1562470078475","  11.955","   0.000","  800","   2.100"," 121.511","  33.753","   0.026","  47.081","  13.078"," 58","0","   1.274","  16.449","   4.569","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:09:957","1562721578938","  12.056","   0.000","  800","   2.200"," 121.733","  33.815","   0.037","  47.085","  13.079"," 58","0","   1.278","  16.578","   4.605","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:058","1562972991225","  12.157","   0.000","  800","   2.031"," 121.938","  33.872","   0.019","  47.087","  13.080"," 57","0","   1.271","  16.706","   4.641","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:159","1563224468488","  12.257","   2.000","  800","   3.017"," 122.242","  33.956","   0.305","  47.118","  13.088"," 56","0","   1.320","  16.839","   4.678","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:255","1563464421050","  12.354","   1.000","  800","   2.689"," 122.500","  34.028","   0.141","  47.131","  13.092"," 56","0","   1.341","  16.968","   4.713","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:355","1563713808070","  12.454","   0.000"," 1700","   2.032"," 122.704","  34.084","   0.020","  47.133","  13.093"," 57","0","   1.270","  17.095","   4.749","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:455","1563963768063","  12.554","   4.000","  800","   5.927"," 123.298","  34.249","   0.903","  47.224","  13.118"," 58","0","   1.544","  17.250","   4.792","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:554","1564211083425","  12.653","   0.000","  800","   2.280"," 123.524","  34.312","   0.070","  47.231","  13.120"," 56","0","   1.281","  17.377","   4.827","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:659","1564471900788","  12.758","   1.000","  800","   2.272"," 123.761","  34.378","   0.083","  47.239","  13.122"," 57","0","   1.284","  17.511","   4.864","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:10:759","1564721535763","  12.858","   0.000","  800","   2.186"," 123.980","  34.439","   0.039","  47.243","  13.123"," 56","0","   1.289","  17.640","   4.900","   0.000","   0.002","   0.001","  47.000","  750"
