"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"09:00:58:058","1533041868275","   0.156","   2.000","  800","   3.011","   0.309","   0.086","   0.269","   0.028","   0.008"," 56","0","   1.365","   0.140","   0.039","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:159","1533293230275","   0.257","   0.000","  800","   2.230","   0.534","   0.148","   0.034","   0.031","   0.009"," 56","0","   1.282","   0.269","   0.075","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:259","1533543557025","   0.358","   0.000","  800","   2.208","   0.756","   0.210","   0.027","   0.034","   0.009"," 55","0","   1.290","   0.399","   0.111","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:355","1533782477750","   0.453","   0.000","  800","   2.144","   0.961","   0.267","   0.012","   0.035","   0.010"," 55","0","   1.283","   0.522","   0.145","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:457","1534037696975","   0.556","   3.000"," 1700","   5.805","   1.555","   0.432","   0.860","   0.123","   0.034"," 56","0","   1.529","   0.678","   0.188","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:557","1534287126838","   0.656","   0.000","  800","   2.252","   1.780","   0.495","   0.030","   0.126","   0.035"," 56","0","   1.293","   0.808","   0.224","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:658","1534538364500","   0.756","   0.000","  800","   2.195","   2.001","   0.556","   0.033","   0.129","   0.036"," 55","0","   1.284","   0.937","   0.260","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:757","1534786977100","   0.856","   1.000","  800","   2.495","   2.250","   0.625","   0.086","   0.138","   0.038"," 55","0","   1.317","   1.068","   0.297","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:854","1535027467195","   0.953","   3.000"," 1700","   3.282","   2.567","   0.713","   0.257","   0.162","   0.045"," 56","0","   1.374","   1.201","   0.333","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:58:955","1535278507210","   1.053","   4.000"," 1700","   4.173","   2.987","   0.830","   0.476","   0.210","   0.058"," 57","0","   1.446","   1.346","   0.374","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:056","1535531303755","   1.155","   4.000"," 1700","   3.860","   3.378","   0.938","   0.408","   0.252","   0.070"," 56","0","   1.419","   1.490","   0.414","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:159","1535787633000","   1.257","   4.000","  800","   4.633","   3.854","   1.071","   0.764","   0.330","   0.092"," 56","0","   1.427","   1.636","   0.455","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:257","1536032299000","   1.355","   0.000","  800","   2.150","   4.065","   1.129","   0.043","   0.334","   0.093"," 55","0","   1.276","   1.762","   0.489","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:355","1536277267150","   1.454","   1.000","  800","   2.414","   4.302","   1.195","   0.070","   0.341","   0.095"," 56","0","   1.309","   1.890","   0.525","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:458","1536534408605","   1.557","   5.000"," 1700","   6.688","   4.991","   1.386","   1.178","   0.463","   0.129"," 55","0","   1.590","   2.054","   0.571","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:557","1536780514615","   1.655","   4.000"," 1700","   3.867","   5.373","   1.492","   0.399","   0.502","   0.139"," 56","0","   1.425","   2.195","   0.610","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:656","1537029041145","   1.755","   4.000"," 1700","   3.902","   5.762","   1.600","   0.459","   0.548","   0.152"," 56","0","   1.422","   2.336","   0.649","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:756","1537278719875","   1.855","   3.000","  800","   3.230","   6.085","   1.690","   0.239","   0.572","   0.159"," 56","0","   1.375","   2.474","   0.687","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:857","1537530185038","   1.956","   2.000","  800","   2.893","   6.377","   1.771","   0.132","   0.585","   0.163"," 56","0","   1.345","   2.610","   0.725","   0.000","   0.000","   0.000","  47.000","  750"
"09:00:59:957","1537777777800","   2.055","   0.000"," 1700","   2.169","   6.592","   1.831","   0.041","   0.589","   0.164"," 55","0","   1.282","   2.737","   0.760","   0.000","   0.000","   0.000","  47.000","  750"
"09:01:00:055","1538023808875","   2.154","   2.000","  800","   3.003","   6.888","   1.913","   0.263","   0.615","   0.171"," 55","0","   1.324","   2.867","   0.797","   0.000","   0.000","   0.000","  47.000","  750"
"09:01:00:155","1538273769250","   2.254","   3.000","  800","   3.729","   7.262","   2.017","   0.533","   0.669","   0.186"," 56","0","   1.339","   3.002","   0.834","   0.000","   0.000","   0.000","  47.000","  750"
"09:01:00:258","1538529351290","   2.357","   2.000"," 1700","   3.946","   7.666","   2.130","   0.313","   0.701","   0.195"," 56","0","   1.408","   3.146","   0.874","   0.000","   0.000","   0.000","  47.000","  750"
"09:01:00:355","1538770613200","   2.453","   2.000","  800","   3.053","   7.962","   2.212","   0.187","   0.719","   0.200"," 56","0","   1.357","   3.277","   0.910","   0.000","   0.000","   0.000","  47.000","  750"
"09:01:00:458","1539027542090","   2.556","  11.000"," 1700","  11.472","   9.143","   2.540","   3.759","   1.106","   0.307"," 57","0","   1.702","   3.453","   0.959","   0.021","   0.002","   0.001","  47.000","  750"
"09:01:00:557","1539275200547","   2.656","   6.000"," 2800","   5.313","   9.671","   2.686","   0.845","   1.190","   0.331"," 56","0","   1.488","   3.600","   1.000","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:00:655","1539520838709","   2.754","  16.000"," 3600","  25.305","  12.163","   3.379","  12.989","   2.469","   0.686"," 65","0","   1.877","   3.785","   1.051","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:00:759","1539778454811","   2.857","  12.000"," 3600","  18.225","  14.045","   3.901","   7.540","   3.248","   0.902"," 66","0","   1.393","   3.929","   1.091","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:00:855","1540019798190","   2.954","  12.000"," 3500","  17.181","  15.708","   4.363","   6.771","   3.903","   1.084"," 66","0","   1.364","   4.061","   1.128","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:00:957","1540272358260","   3.055","  13.000"," 3500","  17.990","  17.529","   4.869","   7.512","   4.664","   1.295"," 61","0","   1.394","   4.202","   1.167","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:056","1540519061756","   3.154","  14.000"," 3500","  18.209","  19.331","   5.370","   7.841","   5.439","   1.511"," 60","0","   1.423","   4.343","   1.206","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:158","1540774107640","   3.257","  13.000"," 3500","  17.776","  21.148","   5.875","   7.476","   6.203","   1.723"," 64","0","   1.379","   4.484","   1.246","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:256","1541018443238","   3.354","  12.000"," 3600","  17.305","  22.843","   6.345","   7.021","   6.891","   1.914"," 67","0","   1.363","   4.617","   1.283","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:355","1541266226220","   3.454","  12.000"," 3300","  17.215","  24.554","   6.820","   6.764","   7.563","   2.101"," 67","0","   1.369","   4.753","   1.320","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:459","1541524619073","   3.557","  14.000"," 3600","  19.089","  26.531","   7.370","   8.291","   8.422","   2.339"," 64","0","   1.482","   4.907","   1.363","   0.000","   0.002","   0.001","  47.000","  750"
"09:01:01:557","1541770268028","   3.656","  12.000"," 3500","  16.995","  28.205","   7.835","   6.655","   9.078","   2.522"," 64","0","   1.353","   5.040","   1.400","   0.000","   0.002","   0.001","  47.000","  750"
