"System Time","RDTSC","Elapsed Time (sec)","CPU Utilization(%)","CPU Frequency_0(MHz)","Processor Power_0(Watt)","Cumulative Processor Energy_0(Joules)","Cumulative Processor Energy_0(mWh)","IA Power_0(Watt)","Cumulative IA Energy_0(Joules)","Cumulative IA Energy_0(mWh)","Package Temperature_0(C)","Package Hot_0","DRAM Power_0(Watt)","Cumulative DRAM Energy_0(Joules)","Cumulative DRAM Energy_0(mWh)","GT Power_0(Watt)","Cumulative GT Energy_0(Joules)","Cumulative GT Energy_0(mWh)","Package Power Limit_0(Watt)","GT Frequency(MHz)"
"10:02:00:306","495102020405","   0.111","  14.000"," 1700","  13.879","   1.375","   0.382","   5.100","   0.505","   0.140"," 66","0","   1.475","   0.146","   0.041","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:405","495349281220","   0.210","  13.000"," 1700","   8.589","   2.227","   0.619","   1.563","   0.660","   0.183"," 66","0","   1.385","   0.283","   0.079","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:505","495599244725","   0.310","  15.000"," 1700","   9.118","   3.141","   0.872","   1.920","   0.853","   0.237"," 66","0","   1.401","   0.424","   0.118","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:603","495844293840","   0.408","  16.000"," 1700","   9.373","   4.062","   1.128","   2.072","   1.056","   0.293"," 65","0","   1.428","   0.564","   0.157","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:704","496094595985","   0.509","  16.000"," 1700","   9.935","   5.059","   1.405","   2.467","   1.304","   0.362"," 65","0","   1.488","   0.713","   0.198","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:806","496348689135","   0.611","  13.000"," 1700","   8.530","   5.928","   1.647","   1.525","   1.459","   0.405"," 66","0","   1.415","   0.858","   0.238","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:00:906","496598418530","   0.711","  12.000"," 1700","   8.853","   6.814","   1.893","   1.472","   1.607","   0.446"," 66","0","   1.603","   1.018","   0.283","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:006","496848223466","   0.811","  12.000"," 2800","  10.055","   7.821","   2.172","   2.084","   1.815","   0.504"," 66","0","   1.608","   1.179","   0.328","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:106","497098309080","   0.911","  13.000"," 1700","  11.310","   8.955","   2.487","   3.282","   2.145","   0.596"," 66","0","   1.497","   1.329","   0.369","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:206","497347683575","   1.011","  15.000"," 1700","   9.938","   9.949","   2.763","   2.225","   2.367","   0.658"," 66","0","   1.449","   1.474","   0.409","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:306","497597548707","   1.111","  16.000"," 2500","  10.848","  11.035","   3.065","   2.900","   2.658","   0.738"," 67","0","   1.511","   1.625","   0.452","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:406","497847359400","   1.211","  12.000"," 1700","   9.070","  11.944","   3.318","   1.637","   2.821","   0.784"," 66","0","   1.425","   1.768","   0.491","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:507","498096962490","   1.312","  14.000"," 1700","   9.604","  12.905","   3.585","   1.881","   3.010","   0.836"," 67","0","   1.514","   1.920","   0.533","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:603","498336494005","   1.408","  24.000"," 1700","  11.151","  13.976","   3.882","   3.307","   3.327","   0.924"," 67","0","   1.462","   2.060","   0.572","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:707","498596516700","   1.512","  16.000"," 1700","  10.173","  15.036","   4.177","   2.615","   3.600","   1.000"," 66","0","   1.482","   2.214","   0.615","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:807","498846249955","   1.612","  19.000"," 1700","  13.568","  16.395","   4.554","   5.302","   4.131","   1.147"," 67","0","   1.445","   2.359","   0.655","   0.000","   0.000","   0.000","  47.000","  750"
"10:02:01:907","499096129885","   1.712","  25.000"," 1700","  14.575","  17.855","   4.960","   5.913","   4.723","   1.312"," 65","0","   1.635","   2.523","   0.701","   0.029","   0.003","   0.001","  47.000","  750"
"10:02:02:007","499345849580","   1.812","  20.000"," 2500","  11.187","  18.975","   5.271","   3.244","   5.048","   1.402"," 67","0","   1.548","   2.678","   0.744","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:107","499595433687","   1.912","  21.000"," 3500","  16.169","  20.593","   5.720","   7.191","   5.768","   1.602"," 70","0","   1.551","   2.833","   0.787","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:204","499836810694","   2.009","  25.000"," 3500","  31.077","  23.600","   6.556","  18.742","   7.581","   2.106"," 72","0","   1.784","   3.006","   0.835","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:302","500082264616","   2.107","  24.000"," 3500","  28.564","  26.411","   7.336","  16.900","   9.244","   2.568"," 70","0","   1.427","   3.146","   0.874","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:407","500344009069","   2.212","  14.000"," 3600","  20.045","  28.515","   7.921","   9.145","  10.204","   2.834"," 70","0","   1.445","   3.298","   0.916","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:507","500593380246","   2.312","  12.000"," 3500","  16.849","  30.199","   8.389","   6.615","  10.865","   3.018"," 70","0","   1.350","   3.433","   0.954","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:603","500832679025","   2.408","  12.000"," 3500","  17.409","  31.870","   8.853","   6.965","  11.534","   3.204"," 68","0","   1.381","   3.565","   0.990","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:707","501092267361","   2.512","  13.000"," 3600","  18.593","  33.805","   9.390","   7.830","  12.349","   3.430"," 71","0","   1.436","   3.715","   1.032","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:807","501341704861","   2.612","  13.000"," 3600","  17.667","  35.571","   9.881","   7.199","  13.069","   3.630"," 72","0","   1.399","   3.855","   1.071","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:02:907","501591077518","   2.712","  12.000"," 3500","  16.978","  37.269","  10.352","   6.675","  13.736","   3.816"," 71","0","   1.349","   3.989","   1.108","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:007","501840491086","   2.812","  12.000"," 3500","  17.217","  38.991","  10.831","   6.793","  14.415","   4.004"," 71","0","   1.362","   4.126","   1.146","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:107","502089950186","   2.912","  12.000"," 3600","  17.416","  40.732","  11.315","   7.003","  15.116","   4.199"," 68","0","   1.382","   4.264","   1.184","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:207","502339336808","   3.012","  12.000"," 3500","  17.275","  42.460","  11.794","   6.847","  15.800","   4.389"," 72","0","   1.364","   4.400","   1.222","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:307","502587089656","   3.112","  13.000"," 3500","  18.081","  44.256","  12.293","   7.610","  16.556","   4.599"," 69","0","   1.381","   4.537","   1.260","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:407","502836579278","   3.212","  13.000"," 3500","  18.038","  46.060","  12.794","   7.577","  17.314","   4.809"," 68","0","   1.383","   4.676","   1.299","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:507","503087630418","   3.312","  13.000"," 3500","  17.189","  47.790","  13.275","   6.928","  18.011","   5.003"," 68","0","   1.358","   4.812","   1.337","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:603","503326925702","   3.408","  12.000"," 3500","  17.417","  49.461","  13.739","   7.016","  18.685","   5.190"," 68","0","   1.382","   4.945","   1.374","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:707","503584893350","   3.512","  13.000"," 3600","  18.224","  51.346","  14.263","   7.636","  19.474","   5.410"," 69","0","   1.422","   5.092","   1.414","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:803","503823745132","   3.608","  12.000"," 3500","  17.321","  53.004","  14.723","   6.964","  20.141","   5.595"," 71","0","   1.362","   5.222","   1.451","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:03:907","504085325146","   3.712","  12.000"," 3500","  17.156","  54.804","  15.223","   6.716","  20.846","   5.790"," 68","0","   1.362","   5.365","   1.490","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:007","504334726802","   3.812","  12.000"," 3500","  17.033","  56.507","  15.696","   6.645","  21.510","   5.975"," 68","0","   1.360","   5.501","   1.528","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:103","504572791694","   3.908","  13.000"," 3500","  18.549","  58.277","  16.188","   8.049","  22.278","   6.188"," 68","0","   1.384","   5.633","   1.565","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:207","504833608471","   4.012","  13.000"," 3600","  18.245","  60.185","  16.718","   7.617","  23.075","   6.410"," 71","0","   1.387","   5.779","   1.605","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:303","505071870342","   4.108","  12.000"," 3500","  17.285","  61.836","  17.177","   6.818","  23.726","   6.591"," 71","0","   1.368","   5.909","   1.641","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:407","505332493962","   4.212","  12.000"," 3500","  17.049","  63.618","  17.672","   6.660","  24.422","   6.784"," 70","0","   1.353","   6.051","   1.681","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:503","505570823668","   4.308","  12.000"," 3500","  17.135","  65.255","  18.126","   6.751","  25.067","   6.963"," 69","0","   1.351","   6.180","   1.717","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:603","505821135298","   4.408","  12.000"," 3500","  17.206","  66.982","  18.606","   6.806","  25.750","   7.153"," 69","0","   1.365","   6.317","   1.755","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:707","506080728938","   4.512","  13.000"," 3600","  18.387","  68.895","  19.138","   7.698","  26.551","   7.375"," 69","0","   1.427","   6.465","   1.796","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:807","506330106782","   4.612","  12.000"," 3500","  17.244","  70.620","  19.617","   6.793","  27.231","   7.564"," 69","0","   1.363","   6.601","   1.834","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:04:907","506579544446","   4.712","  12.000"," 3500","  17.121","  72.332","  20.092","   6.699","  27.901","   7.750"," 69","0","   1.359","   6.737","   1.871","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:007","506829007486","   4.812","  15.000"," 3600","  20.373","  74.369","  20.658","   9.463","  28.847","   8.013"," 70","0","   1.418","   6.879","   1.911","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:107","507078395367","   4.912","  12.000"," 3500","  17.410","  76.110","  21.142","   7.056","  29.552","   8.209"," 68","0","   1.375","   7.016","   1.949","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:207","507327796219","   5.012","  12.000"," 3500","  17.277","  77.838","  21.622","   6.851","  30.238","   8.399"," 71","0","   1.362","   7.153","   1.987","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:307","507577394017","   5.112","  12.000"," 3500","  21.558","  79.995","  22.221","   9.624","  31.201","   8.667"," 71","0","   1.810","   7.334","   2.037","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:404","507818501271","   5.209","  12.000"," 3600","  27.673","  82.670","  22.964","  13.076","  32.465","   9.018"," 73","0","   1.366","   7.466","   2.074","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:507","508076132642","   5.312","  12.000"," 3500","  27.864","  85.548","  23.763","  13.258","  33.834","   9.398"," 74","0","   1.358","   7.606","   2.113","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:604","508315782900","   5.409","   1.000"," 1700","   7.055","  86.226","  23.952","   1.084","  33.938","   9.427"," 66","0","   1.412","   7.742","   2.150","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:703","508564340563","   5.508","   2.000","  800","   3.848","  86.609","  24.058","   0.480","  33.986","   9.441"," 66","0","   1.395","   7.881","   2.189","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:804","508815703025","   5.609","   0.000","  800","   2.037","  86.815","  24.115","   0.026","  33.989","   9.441"," 65","0","   1.265","   8.008","   2.225","   0.000","   0.003","   0.001","  47.000","  750"
"10:02:05:905","509066955225","   5.710","   0.000","  800","   1.865","  87.003","  24.167","   0.010","  33.990","   9.442"," 65","0","   1.254","   8.135","   2.260","   0.000","   0.003","   0.001","  47.000","  750"
